,elder,asiatic,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number
1922,156929.0,173695.0,700860.0,528374.0,111414.0,215186.0,57180.0
1923,5489.0,733.0,26016.0,18347.0,5175.0,7929.0,1945.0
1924,168.0,4.0,705.0,534.0,134.0,187.0,56.0
1925,3084.0,314.0,15474.0,11282.0,3194.0,4417.0,1109.0
1926,1083.0,106.0,3820.0,2760.0,678.0,1054.0,278.0
1927,116007.0,208760.0,406301.0,274882.0,74059.0,121260.0,37665.0
1928,2322.0,132.0,8415.0,6762.0,1384.0,2162.0,645.0
1929,20625.0,6594.0,101976.0,74602.0,19462.0,25867.0,6728.0
1930,199.0,5.0,705.0,517.0,124.0,193.0,58.0
1931,1726.0,113.0,6071.0,4448.0,1246.0,1609.0,446.0
1932,3497.0,171.0,17047.0,12657.0,3933.0,4787.0,1167.0
1933,1637.0,346.0,8749.0,6491.0,2021.0,2390.0,616.0
1934,40519.0,14084.0,181677.0,132585.0,33096.0,43261.0,13039.0
1935,4422.0,781.0,30173.0,23706.0,4705.0,7433.0,1818.0
1936,970.0,49.0,2743.0,1854.0,628.0,847.0,244.0
1937,3239.0,191.0,15256.0,11313.0,2745.0,4135.0,1031.0
1938,191.0,7.0,697.0,523.0,120.0,177.0,50.0
1939,7190.0,1495.0,34961.0,26254.0,6519.0,9091.0,2320.0
1940,1047.0,122.0,4492.0,3344.0,1021.0,1219.0,322.0
1941,6938.0,1302.0,36179.0,28413.0,6027.0,9879.0,2465.0
1942,268.0,6.0,1157.0,882.0,211.0,323.0,85.0
1943,1207.0,73.0,5621.0,4124.0,1273.0,1618.0,383.0
1944,6513.0,16450.0,29364.0,19731.0,5158.0,8696.0,2351.0
1945,1620.0,88.0,7587.0,5782.0,1833.0,2209.0,539.0
1946,2969.0,241.0,8836.0,6450.0,1682.0,2230.0,706.0
1947,852.0,41.0,4436.0,3321.0,955.0,1452.0,360.0
1948,1198.0,133.0,5398.0,4064.0,949.0,1615.0,404.0
1949,1238.0,64.0,4913.0,3327.0,1235.0,1502.0,375.0
1950,1811.0,235.0,10320.0,7664.0,1985.0,3167.0,753.0
1951,839.0,23.0,3680.0,2572.0,893.0,1057.0,252.0
1952,434.0,18.0,2365.0,1724.0,467.0,645.0,168.0
1953,952.0,46.0,3492.0,2656.0,856.0,1083.0,255.0
1954,3806.0,1262.0,21501.0,16904.0,4674.0,5732.0,1497.0
1955,3517.0,338.0,16843.0,12235.0,3889.0,4601.0,1216.0
1956,2795.0,119.0,9754.0,7164.0,1941.0,3032.0,784.0
1957,610.0,47.0,2586.0,2022.0,427.0,631.0,180.0
1958,5116.0,590.0,27960.0,22392.0,5096.0,8680.0,2089.0
1959,1930.0,98.0,6580.0,5085.0,1344.0,1853.0,563.0
1960,2916.0,1530.0,13674.0,10724.0,2159.0,3390.0,939.0
1961,1455.0,57.0,5944.0,4423.0,1362.0,1717.0,423.0
1962,3094.0,464.0,9564.0,7224.0,1793.0,2695.0,774.0
1963,1441.0,72.0,5737.0,3898.0,1409.0,1667.0,419.0
1964,4605.0,467.0,17140.0,12416.0,3216.0,4305.0,1366.0
1965,211.0,32.0,823.0,593.0,167.0,260.0,69.0
1966,2118.0,76.0,9034.0,6388.0,2266.0,2594.0,655.0
1967,10235.0,3367.0,57876.0,44110.0,10157.0,18916.0,4419.0
1968,1133.0,92.0,4881.0,3655.0,854.0,1467.0,367.0
1969,905.0,113.0,3244.0,2260.0,697.0,936.0,259.0
1970,1836.0,2606.0,12067.0,9578.0,1783.0,3244.0,793.0
1971,980.0,134.0,4739.0,3484.0,944.0,1341.0,354.0
1972,547.0,45.0,2198.0,1691.0,332.0,548.0,162.0
1973,5001.0,532.0,25401.0,17900.0,4356.0,7099.0,1766.0
1974,7912.0,911.0,28232.0,19315.0,5241.0,7674.0,2009.0
1975,1274.0,134.0,6248.0,4715.0,1190.0,1511.0,427.0
1976,2360.0,87.0,10585.0,8282.0,2134.0,2740.0,721.0
1977,1028.0,16.0,3503.0,2460.0,885.0,1009.0,282.0
1978,1490.0,336.0,6306.0,4386.0,1121.0,1999.0,546.0
1979,1328.0,88.0,6222.0,4580.0,1005.0,1515.0,423.0
1980,1259.0,83.0,5512.0,4340.0,991.0,1422.0,421.0
1981,3830.0,273.0,19053.0,14039.0,3839.0,6153.0,1455.0
1982,1106.0,69.0,5649.0,4363.0,1122.0,1340.0,357.0
1983,43004.0,11676.0,233701.0,175684.0,41253.0,68819.0,17072.0
1984,6838.0,1781.0,43786.0,35327.0,6634.0,10967.0,2664.0
1985,504.0,15.0,2192.0,1491.0,499.0,658.0,170.0
1986,10177.0,1435.0,27160.0,19359.0,5342.0,8547.0,2441.0
1987,357.0,19.0,1509.0,1139.0,277.0,406.0,110.0
1988,1223.0,46.0,5771.0,3872.0,1419.0,1610.0,423.0
1989,538.0,21.0,2607.0,1954.0,562.0,680.0,177.0
1990,34489.0,68418.0,164334.0,129103.0,24373.0,43790.0,11292.0
1991,53408.0,25337.0,313134.0,238332.0,60056.0,102346.0,23966.0
1992,3174.0,152.0,10171.0,7301.0,2382.0,3040.0,845.0
1993,2103.0,156.0,9179.0,6704.0,2070.0,2449.0,708.0
1994,7188.0,1033.0,28362.0,22099.0,6556.0,8486.0,2137.0
1995,16788.0,5102.0,71867.0,54736.0,12361.0,19193.0,4965.0
1996,8002.0,557.0,38545.0,29224.0,7300.0,8774.0,2379.0
1997,231.0,11.0,696.0,528.0,165.0,223.0,66.0
1998,976.0,43.0,3696.0,3128.0,641.0,941.0,274.0
1999,579.0,25.0,2359.0,1755.0,454.0,560.0,162.0
2000,911.0,50.0,4393.0,3066.0,865.0,1355.0,332.0
2001,41049.0,42069.0,204702.0,161351.0,32770.0,57758.0,15020.0
2002,246.0,8.0,618.0,471.0,132.0,200.0,59.0
2003,10019.0,2898.0,55934.0,46107.0,8358.0,12358.0,3700.0
2004,69.0,29.0,352.0,279.0,55.0,77.0,23.0
2005,4882.0,379.0,22721.0,16646.0,4450.0,5658.0,1457.0
2006,1721.0,79.0,7861.0,5604.0,1847.0,2192.0,540.0
2007,1554.0,75.0,7277.0,5495.0,1268.0,2063.0,515.0
2008,62.0,0.0,166.0,121.0,30.0,48.0,14.0
2009,1371.0,23.0,5876.0,4408.0,1212.0,1976.0,464.0
2010,35280.0,27244.0,205657.0,172796.0,38870.0,58228.0,15193.0
2011,2490.0,171.0,7539.0,5080.0,1678.0,2321.0,740.0
2012,5629.0,1083.0,33675.0,26873.0,6893.0,8192.0,2046.0
2013,6445.0,817.0,27494.0,20939.0,5535.0,7481.0,1934.0
2014,1740.0,174.0,11485.0,9448.0,2296.0,4027.0,968.0
2015,1051.0,151.0,5105.0,3738.0,982.0,1639.0,413.0
2016,611.0,2056.0,5230.0,4244.0,721.0,1405.0,329.0
2017,3740.0,880.0,17387.0,13570.0,3008.0,4572.0,1170.0
2018,1779.0,197.0,9087.0,7405.0,1903.0,2271.0,611.0
2019,3441.0,522.0,18324.0,13645.0,3966.0,4957.0,1213.0
2020,225.0,25.0,1304.0,1017.0,201.0,381.0,91.0
2021,225.0,2.0,719.0,537.0,124.0,193.0,58.0
2022,1186.0,61.0,5210.0,4132.0,788.0,1168.0,334.0
